barcode ,Description,BRAND,SUPPLIER,RMS CODE,ALSHAYA CODE
7.93574E+11,FORTAVITA MANUKA HONEY &PROPOLIS 12 LOZENGES L&H,FORTAVITA,ADVANCIES,220064727,new code
904243565,APROPOS EAR DROPS -20 ML,APROPOS,ADVANCIES,220062320,B2BOB220580
7.93574E+11,FORTAVITA H&L MANUKA HONEY UMF10 12 LOZENGES,FORTAVITA,ADVANCIES,220060042,B2BOB243565
,FORTAVITA MANUKA HONEY MGO 100+  ,FORTAVITA,ADVANCIES,272969363,B2BOB220603
6.09723E+11,FORTAVITA THROAT & MOUTH SPRAY 30 ML,FORTAVITA,ADVANCIES,220053258,272969363
7.99439E+11,FORTAVITA MANUKA HONEY WITH ROYAL GELLY MGO 100+ 250 GMS,FORTAVITA,ADVANCIES,220194287,B2BOB201833
9.4219E+12,FORTAVITA MANUKA HONEY WITH GINGER MGO 100+ 250 GMS,FORTAVITA,ADVANCIES,220056689,B2BOB251218
7.99439E+11,FORTAVITA MANUKA HONEY WITH GINSENG MGO 100+ 250 GMS,FORTAVITA,ADVANCIES,220058997,B2BOB294983
7.99439E+11,FORTAVITA MANUKA HONEY MGO 400+ (500G),FORTAVITA,ADVANCIES,220194101,B2BOB251201
930986551,APROPOS THROAT SPRAY-CHILD 25ML,APROPOS,ADVANCIES,220050512,B2BOB2051225
9.4219E+12,FORTAVITA MANUKA HONEY MGO400+ (250G),FORTAVITA,ADVANCIES,220194847,B2BOB286551
7.93574E+11,FORTAVITA MANUKA & PROPOLIS 12 LOZENGES COOL MINT,FORTAVITA,ADVANCIES,220062310,B2BOB2038268S
930986548,APROPOS THROAT SPRAY ADULT,APROPOS,ADVANCIES,220075473,B2BOB220597
904243639,APROPOS NASAL SPRAY 25 ML,APROPOS,ADVANCIES,220054804,B2BOB286548
8.80942E+12,COSRX AHA/BHA CLARIFY TONER 150ML,COSRX,AJA INTERNATIONAL ,220214523,B2BOB243639
8.80942E+12,COSRX CENTELLA BLEMISH CREAM 30ML,COSRX,AJA INTERNATIONAL ,220214477,B2BOB26470030
8.80912E+12,D KLAIRS FRESHLY JUICED VITAMIN DROP35ML,DEAR KLAIRS,AJA INTERNATIONAL ,220214472,B2BOB26470368
8.80942E+12,COSRX ALOE SOOTHNG SUNCREAM SPF50 50ML,COSRX,AJA INTERNATIONAL ,220214613,B2BOB25025050
8.80942E+12,COSRX ADVANCED SNAIL96 PWR ESSENCE100ML,COSRX,AJA INTERNATIONAL ,220214250,B2BOB26470191
8.80942E+12,COSRX ADVNCD SNAIL92 CREAM 100GM,COSRX,AJA INTERNATIONAL ,220214539,B2BOB26470009
8.80999E+12,K-SECRET CALAMINE SUNBLOCK SPF50 50ML,K-SECRET,AJA INTERNATIONAL ,220214501,B2BOB26470016
8.80942E+12,COSRX ONE STEP ORIGINAL CLEAR PAD 70S,COSRX,AJA INTERNATIONAL ,220214197,B2BOB20034789
8.80912E+12,D KLAIRS SUPPLE PREPRTN ALLOVR LTN 250ML,DEAR KLAIRS,AJA INTERNATIONAL ,220214993,B2BOB26470306
8.80912E+12,D KLAIRS SUPPLE PREPRTN UNSCENT TNR180ML,DEAR KLAIRS,AJA INTERNATIONAL ,220214920,B2BOB25023551
,K-SECRET COLLAGEN BOOSTING SECRET SLEEPING MASK 60ML,K-SECRET,AJA INTERNATIONAL ,130127720,B2BOB25029119
,K-SECRET VITA COLLAGEN SECRET WHITENING SUN LOTION 50ML,K-SECRET,AJA INTERNATIONAL ,130131971,130127720
8.80912E+12,D KLAIRS FRESHLY JUICED VIT E MASK 90ML,DEAR KLAIRS,AJA INTERNATIONAL ,220215018,130131971
,K-SECRET VITA COLLAGEN SECRET WHITENING BODY LOTION 200ML,K-SECRET,AJA INTERNATIONAL ,130131973,B2BOB25024046
,K-SECRET COLLAGEN VITA SECRET MULTI BALM 11GM,K-SECRET,AJA INTERNATIONAL ,130131975,130131973
8.8096E+12,COSRX ADV SNAILPEPTIDE EYE CREAM 25ML,COSRX,AJA INTERNATIONAL ,220214776,130131975
,K-SECRET VITA COLLAGEN SECRET WHITENING BAR 110GM,K-SECRET,AJA INTERNATIONAL ,130131976,B2BOB28451070
8.80999E+12,K-SECRET CALAMINE SECRET BAR 100GM,K-SECRET,AJA INTERNATIONAL ,220214314,130131976
8.80942E+12,COSRX BHA BLACKHEAD POWER LIQUID 100ML,COSRX,AJA INTERNATIONAL ,220214492,B2BOB20034727
,K-SECRET COLLAGEN BOOSTING SECRET DAY CREAM 60ML,K-SECRET,AJA INTERNATIONAL ,130131977,B2BOB26470054
8.80912E+12,D KLAIRS SUPPLE PREPARTN TONER 180ML,DEAR KLAIRS,AJA INTERNATIONAL ,220214621,130131977
8.80957E+12,D KLAIRS GNTL BLCKSUGAR FCL POLISH110GM,DEAR KLAIRS,AJA INTERNATIONAL ,220214701,B2BOB25025012
8.8097E+12,K-SECRET CALAMINE 30 DAYS TONER 160ML,K-SECRET,AJA INTERNATIONAL ,220214253,B2BOB22890338
8.80912E+12,D KLAIRS MIDNIGHT BLUE YTH ACTV DROP20ML,DEAR KLAIRS,AJA INTERNATIONAL ,220214782,B2BOB25240263
8.80942E+12,COSRX LOW PH GOOD MORNING CLEANSER 150ML,COSRX,AJA INTERNATIONAL ,220214357,B2BOB25023681
8.80912E+12,D KLAIRS RICH MOIST SOOTHING SERUM 80ML,DEAR KLAIRS,AJA INTERNATIONAL ,220214829,B2BOB26470511
8.8097E+12,K-SECRET CALAMINE DERMA SCRT SERUM 50ML,K-SECRET,AJA INTERNATIONAL ,220214957,B2BOB25025258
8.80999E+12,K-SECRET CALAMINE DERMA SECRET CRM 50ML,K-SECRET,AJA INTERNATIONAL ,220214301,B2BOB25240232
8.80912E+12,D KLAIRS RICH MOIST FOAMING CLNSR 100ML,DEAR KLAIRS,AJA INTERNATIONAL ,220214900,B2BOB20034796
8.00266E+12,(*)BRUFEN 600 MG TAB 30S,BRUFEN,AKAB MEDICAL SUPPLIES,220233025,B2BOB25025487
8.00266E+12,BRUFEN RETARD 800MG TAB 20S,BRUFEN,AKAB MEDICAL SUPPLIES,220227403,BZBTSLOBRU29232
8.00266E+12,BRUFEN SYRUP 200ML,BRUFEN,AKAB MEDICAL SUPPLIES,220201540,BZBTSLOBRU29218
8.00266E+12,BRUFEN 600MG GRANULES SACHET 30S,BRUFEN,AKAB MEDICAL SUPPLIES,220206097,WXBOWX3000990
8.00266E+12,BRUFEN 600MG GRANULES SACHET 20S,BRUFEN,AKAB MEDICAL SUPPLIES,220224441,WXBOWX0033703
,BRUFEN 400 MG TAB 30S,BRUFEN,AKAB MEDICAL SUPPLIES,220216336,BZBTSLOBRU32805
8.02381E+12,BRUFEN SYRUP 100ML,BRUFEN,AKAB MEDICAL SUPPLIES,220162816,BZBTSLOBRU28471
9.65015E+11,(*)VENTOLIN EVOHALER 100MCG,VENTOLIN,AKAB MEDICAL SUPPLIES,220002560,WXBOWXKNU007
9.65015E+12,(*)VIAGRA 100MG 4S,VIAGRA,AKAB MEDICAL SUPPLIES,220153086,WXBOWXGXU111
9.65015E+11,ZITHROMAX 250MG CAPSULES 6S,ZITHROMAX,AKAB MEDICAL SUPPLIES,220157676,WXBOWXVIAG100
9.65015E+11,(*)DIFLUCAN 150MG CAPSULES 1S,DIFLUCAN,AKAB MEDICAL SUPPLIES,220161531,WXBOWXPZB019
9.65015E+11,ZOVIRAX 800MG TABS 35S,ZOVIRAX,AKAB MEDICAL SUPPLIES,220159638,WXBOWXPZU002
8.43009E+12,VALTREX 500MG TAB 10S,VALTREX,AKAB MEDICAL SUPPLIES,220154445,WXBOWXWEU094
5.01601E+12,ALLERGAN OPTIVE EYE DROPS 15ML,ALLERGAN,AKAB MEDICAL SUPPLIES,220002389,WXBOWXIBT006B
9.65015E+11,VENTOLIN NEBULES 40S,VENTOLIN,AKAB MEDICAL SUPPLIES,220162207,WXBOWX5811310
9.65015E+11,FLIXOTIDE 50 EVOHA 120S,FLIXOTIDE,AKAB MEDICAL SUPPLIES,220158710,WXBOWXGXU110
9.65015E+11,IMIGRAN 50MG TAB 2S,IMIGRAN,AKAB MEDICAL SUPPLIES,220165640,WXBOWXIBT006F
